insured_name,cedent_name,country,currency,exposure,total_ceded_by_cedent,ceded_to_reinsurer,retained_by_cedant,policy_inception_date,policy_expiry_date,exclusion_status,exclusion_reason
VIRGIN ATLANTIC,HANNOVER RE,France,EUR,43152789.4,21466480.1,21003636.9,21686309.4,2024-01-10,2025-01-09,excluded,War Risk Exclusion
CATHAY PACIFIC,AXA,France,EUR,94850158.3,2650981.2,2613450.6,92199177.1,2024-01-19,2025-01-18,included,
VIRGIN ATLANTIC,HANNOVER RE,USA,USD,23330295.2,6316847.1,6132989.3,17013448.2,2024-01-09,2025-01-08,included,
UNITED AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,62898826.1,32094493.4,31397793.7,30804332.7,2024-03-17,2025-03-17,excluded,Pandemic Exclusion
ANA (ALL NIPPON AIRWAYS),ALLIANZ,Germany,EUR,73710980.0,60658995.5,58131760.1,13051984.5,2024-12-13,2026-12-13,excluded,Pandemic Exclusion
SINGAPORE AIRLINES,CHUBB,UK,GBP,72700936.6,31119088.4,30024199.5,41581848.2,2024-12-03,2025-12-03,included,
AIR CANADA,SCOR,UK,GBP,29513897.8,22243476.6,21932878.6,7270421.2,2024-05-12,2025-05-12,included,
FRONTIER AIRLINES,AXA,USA,USD,59606069.8,8173548.3,8033315.5,51432521.5,2024-07-13,2026-07-13,included,
SPIRIT AIRLINES,GENERALI,France,EUR,50405939.2,27580276.9,26450371.4,22825662.2,2024-07-22,2026-07-22,included,
EMIRATES AIRLINES,AXA,France,EUR,62711503.2,24026160.4,23306904.2,38685342.8,2024-05-26,2025-05-26,included,
SOUTHWEST AIRLINES,ZURICH,Germany,EUR,69287680.9,35218929.6,33798701.0,34068751.3,2024-01-06,2026-01-05,excluded,Nuclear Risk Exclusion
AIR CHINA,ALLIANZ,Germany,EUR,26019847.7,9236907.3,8883055.2,16782940.4,2024-06-14,2025-06-14,included,
AIR CANADA,ZURICH,USA,USD,52496243.6,642709.5,625007.5,51853534.1,2024-03-13,2026-03-13,included,
THAI AIRWAYS,SWISS RE,Switzerland,CHF,27567922.7,9351525.8,8911000.3,18216396.9,2024-08-25,2025-08-25,included,
TURKISH AIRLINES,AXA,Germany,EUR,88640465.9,8155258.3,7863821.1,80485207.7,2024-06-14,2026-06-14,included,
SPIRIT AIRLINES,HANNOVER RE,Germany,EUR,96856386.3,24723916.0,23972262.7,72132470.3,2024-09-19,2025-09-19,included,
FRONTIER AIRLINES,AXA,USA,USD,42073961.4,23158808.8,22743557.9,18915152.7,2024-07-18,2026-07-18,included,
TURKISH AIRLINES,ALLIANZ,Austria,EUR,43005802.6,21538077.6,21164441.9,21467725.0,2024-09-02,2026-09-02,included,
ANA (ALL NIPPON AIRWAYS),HANNOVER RE,USA,USD,80003811.5,19891822.4,19141433.0,60111989.1,2024-07-28,2025-07-28,included,
SAUDI ARABIAN AIRLINES,SCOR,Germany,EUR,74289228.4,3512598.1,3343760.4,70776630.4,2024-04-04,2026-04-04,included,
FRONTIER AIRLINES,HANNOVER RE,Germany,EUR,64608412.3,6825475.0,6542081.8,57782937.2,2024-10-16,2025-10-16,included,
ANA (ALL NIPPON AIRWAYS),SWISS RE,USA,USD,18505462.6,9629878.0,9237252.9,8875584.6,2024-03-27,2025-03-27,included,
AMERICAN AIRLINES,CHUBB,Singapore,SGD,31052120.9,4069589.7,3922762.9,26982531.2,2024-09-30,2026-09-30,included,
ALASKA AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,44929562.7,18802596.3,18610407.3,26126966.4,2024-04-07,2025-04-07,included,
LUFTHANSA GROUP,CHUBB,USA,USD,93969972.0,82272442.2,78425606.9,11697529.8,2024-10-02,2026-10-02,included,
EMIRATES AIRLINES,MUNICH RE,Germany,EUR,55878348.8,5062761.0,4938057.8,50815587.8,2024-06-14,2025-06-14,excluded,Cyber Risk Exclusion
VIRGIN ATLANTIC,GENERALI,Austria,EUR,77334757.8,941948.6,927152.0,76392809.2,2024-04-13,2025-04-13,excluded,Terrorism Exclusion
AIR FRANCE-KLM,SWISS RE,Germany,EUR,82437237.1,4937231.1,4751471.5,77500006.0,2024-09-12,2025-09-12,included,
BRITISH AIRWAYS,HANNOVER RE,Germany,EUR,37531340.7,29240601.9,28306321.6,8290738.8,2024-07-08,2026-07-08,included,
AIR CANADA,HANNOVER RE,France,EUR,81024265.4,61526929.6,58808275.8,19497335.9,2024-02-13,2026-02-12,included,
AIR CHINA,GENERALI,Austria,EUR,63791180.7,56932191.0,55015611.9,6858989.6,2024-09-18,2026-09-18,included,
DELTA AIR LINES,HANNOVER RE,France,EUR,86595196.6,27769523.6,27432193.7,58825673.1,2024-05-09,2025-05-09,included,
BRITISH AIRWAYS,CHUBB,Singapore,SGD,68405134.0,56953667.1,55274139.3,11451466.9,2024-11-30,2026-11-30,included,
ANA (ALL NIPPON AIRWAYS),SWISS RE,Germany,EUR,78214812.7,2555214.5,2431167.2,75659598.2,2024-11-27,2026-11-27,included,
CATHAY PACIFIC,HANNOVER RE,USA,USD,90543370.0,12341186.3,11859069.3,78202183.6,2024-01-29,2025-01-28,excluded,Nuclear Risk Exclusion
BRITISH AIRWAYS,HANNOVER RE,France,EUR,21846397.4,1110229.2,1061570.2,20736168.3,2024-12-28,2026-12-28,included,
ALASKA AIRLINES,CHUBB,Switzerland,CHF,84874688.8,64118759.8,61700774.8,20755928.9,2024-10-31,2025-10-31,included,
MALAYSIA AIRLINES,CHUBB,Singapore,SGD,43579887.2,7691512.5,7345078.1,35888374.8,2024-01-11,2026-01-10,included,
AIR FRANCE-KLM,MUNICH RE,USA,USD,43959316.3,32755555.2,32108307.4,11203761.2,2024-01-10,2026-01-09,included,
EMIRATES AIRLINES,ZURICH,UK,GBP,57900928.7,25445487.7,25172376.8,32455440.9,2024-02-03,2026-02-02,included,
MALAYSIA AIRLINES,AXA,Germany,EUR,75786548.1,10226506.8,10117756.3,65560041.2,2024-12-11,2026-12-11,included,
SINGAPORE AIRLINES,GENERALI,Italy,EUR,91059686.0,32564092.8,32017258.1,58495593.2,2024-11-24,2026-11-24,included,
RYANAIR,SWISS RE,UK,GBP,97800110.9,77668307.7,76463314.8,20131803.3,2024-04-25,2025-04-25,included,
ETIHAD AIRWAYS,GENERALI,France,EUR,36738355.1,23620545.9,23326441.4,13117809.2,2024-12-01,2025-12-01,included,
AIR FRANCE-KLM,BERKSHIRE HATHAWAY,USA,USD,46695003.3,9108188.8,8888295.7,37586814.5,2024-08-19,2026-08-19,included,
CHINA EASTERN,SCOR,France,EUR,31688179.7,7283320.2,7031666.8,24404859.4,2024-12-23,2026-12-23,included,
TURKISH AIRLINES,CHUBB,UK,GBP,94742633.5,14265833.2,14066882.3,80476800.3,2024-09-06,2025-09-06,included,
SOUTHWEST AIRLINES,CHUBB,USA,USD,54970558.5,30592722.2,29765713.4,24377836.3,2024-08-08,2026-08-08,included,
ETIHAD AIRWAYS,SCOR,UK,GBP,84161768.2,26199117.9,25255366.0,57962650.2,2024-06-06,2026-06-06,included,
AIR FRANCE-KLM,AXA,Germany,EUR,52045229.7,25516635.6,24895857.3,26528594.1,2024-06-23,2025-06-23,included,
AMERICAN AIRLINES,CHUBB,USA,USD,37045515.2,26838136.9,26286610.5,10207378.3,2024-01-23,2026-01-22,included,
KOREAN AIR,GENERALI,Italy,EUR,54742048.6,6081079.5,5975201.4,48660969.1,2024-10-29,2026-10-29,excluded,War Risk Exclusion
AIR CANADA,BERKSHIRE HATHAWAY,Switzerland,CHF,25295617.4,7697741.2,7494126.0,17597876.3,2024-11-19,2026-11-19,included,
ETIHAD AIRWAYS,CHUBB,UK,GBP,49533205.7,8894018.8,8560181.9,40639186.9,2024-04-30,2026-04-30,included,
CATHAY PACIFIC,SCOR,Germany,EUR,38913701.5,10695053.9,10456058.0,28218647.6,2024-08-12,2026-08-12,included,
SOUTHWEST AIRLINES,AXA,Germany,EUR,88286208.2,67895865.9,66167244.5,20390342.3,2024-04-21,2026-04-21,included,
THAI AIRWAYS,AXA,UK,GBP,65683370.6,39399857.4,38578495.7,26283513.2,2024-09-19,2025-09-19,included,
AMERICAN AIRLINES,ZURICH,USA,USD,26188568.9,21413920.9,20543796.1,4774648.0,2024-01-18,2026-01-17,included,
ANA (ALL NIPPON AIRWAYS),MUNICH RE,Singapore,SGD,25233338.5,9221937.9,8819204.9,16011400.6,2024-12-11,2025-12-11,included,
SAUDI ARABIAN AIRLINES,AXA,France,EUR,82652027.9,27979026.4,27576832.2,54673001.5,2024-06-26,2025-06-26,included,
VIRGIN ATLANTIC,GENERALI,Italy,EUR,74054556.5,41215257.9,39235133.5,32839298.6,2024-04-13,2026-04-13,included,
SOUTHWEST AIRLINES,MUNICH RE,Singapore,SGD,58149394.6,45938013.6,43783104.2,12211381.0,2024-04-22,2026-04-22,included,
TURKISH AIRLINES,MUNICH RE,UK,GBP,83882822.2,46874972.8,44726936.4,37007849.4,2024-07-20,2025-07-20,included,
EMIRATES AIRLINES,ZURICH,Germany,EUR,31768823.3,785.9,766.6,31768037.4,2024-01-21,2025-01-20,included,
BRITISH AIRWAYS,MUNICH RE,Germany,EUR,44883469.7,36771908.4,35390246.9,8111561.2,2024-09-11,2026-09-11,included,
CHINA SOUTHERN,ALLIANZ,USA,USD,57587938.1,22016783.5,21004276.6,35571154.6,2024-10-14,2026-10-14,included,
JAPAN AIRLINES,CHUBB,USA,USD,58583653.6,18591341.8,18002956.0,39992311.8,2024-11-06,2025-11-06,included,
DELTA AIR LINES,SCOR,France,EUR,76241279.0,65133007.7,63534578.1,11108271.3,2024-12-20,2025-12-20,included,
FRONTIER AIRLINES,ALLIANZ,Switzerland,CHF,47369424.7,25160264.1,24750916.3,22209160.7,2024-04-04,2026-04-04,included,
UNITED AIRLINES,MUNICH RE,Germany,EUR,98031753.9,42123122.8,41494829.0,55908631.1,2024-03-19,2026-03-19,included,
ALASKA AIRLINES,ZURICH,UK,GBP,13482468.4,2839603.0,2800966.4,10642865.4,2024-07-15,2025-07-15,excluded,War Risk Exclusion
AMERICAN AIRLINES,MUNICH RE,USA,USD,68451737.3,36994600.9,35782291.2,31457136.4,2024-10-24,2026-10-24,included,
AMERICAN AIRLINES,AXA,Germany,EUR,85727695.7,43446739.1,42538265.8,42280956.7,2024-05-24,2026-05-24,included,
BRITISH AIRWAYS,GENERALI,Italy,EUR,69799047.6,21791485.6,21176995.9,48007562.0,2024-10-10,2025-10-10,included,
AIR CANADA,HANNOVER RE,UK,GBP,52943813.6,19796488.5,19243825.2,33147325.1,2024-05-15,2025-05-15,excluded,Nuclear Risk Exclusion
SOUTHWEST AIRLINES,GENERALI,Italy,EUR,57973461.9,31167964.4,30038110.3,26805497.5,2024-02-27,2026-02-26,included,
ETIHAD AIRWAYS,CHUBB,UK,GBP,55048193.7,8218347.7,8105281.9,46829846.0,2024-01-02,2025-01-01,included,
LUFTHANSA GROUP,SWISS RE,UK,GBP,93825413.0,82263817.8,78766258.6,11561595.2,2024-03-16,2026-03-16,included,
CHINA SOUTHERN,AXA,USA,USD,45890460.0,19512883.8,18798265.6,26377576.2,2024-10-16,2026-10-16,excluded,Pandemic Exclusion
DELTA AIR LINES,MUNICH RE,USA,USD,80320747.0,27964913.1,27350149.9,52355833.9,2024-04-26,2026-04-26,included,
KOREAN AIR,MUNICH RE,USA,USD,35531010.4,3402351.0,3262157.7,32128659.4,2024-04-17,2025-04-17,included,
ANA (ALL NIPPON AIRWAYS),BERKSHIRE HATHAWAY,Germany,EUR,67193421.1,24824381.4,23784330.5,42369039.7,2024-12-29,2026-12-29,excluded,War Risk Exclusion
CHINA EASTERN,SCOR,USA,USD,23862670.4,13914648.7,13650070.2,9948021.7,2024-03-29,2026-03-29,included,
ALASKA AIRLINES,SWISS RE,UK,GBP,80317591.9,32823204.1,31353692.5,47494387.8,2024-10-16,2025-10-16,included,
ANA (ALL NIPPON AIRWAYS),AXA,USA,USD,16157281.6,12498376.7,12368292.7,3658904.9,2024-02-02,2026-02-01,included,
CHINA EASTERN,ZURICH,Switzerland,CHF,68426585.0,40629821.4,38618919.0,27796763.6,2024-12-12,2025-12-12,included,
DELTA AIR LINES,ZURICH,UK,GBP,43049675.7,24803336.6,24188294.8,18246339.1,2024-06-04,2025-06-04,included,
VIRGIN ATLANTIC,GENERALI,France,EUR,87525684.4,11528686.6,11312827.2,75996997.9,2024-12-15,2025-12-15,included,
JAPAN AIRLINES,HANNOVER RE,Germany,EUR,64794761.1,19616433.0,19001161.4,45178328.1,2024-05-26,2025-05-26,excluded,War Risk Exclusion
AIR CANADA,CHUBB,USA,USD,61196801.8,25197805.6,24561222.6,35998996.2,2024-04-18,2025-04-18,included,
DELTA AIR LINES,SCOR,UK,GBP,83832075.0,65578768.8,63186022.9,18253306.2,2024-09-13,2025-09-13,included,
MALAYSIA AIRLINES,MUNICH RE,Singapore,SGD,38102305.7,31427968.4,31068934.2,6674337.3,2024-10-02,2025-10-02,included,
JETBLUE AIRWAYS,ZURICH,Switzerland,CHF,79291672.5,30475668.3,29080642.9,48816004.3,2024-07-23,2025-07-23,included,
KOREAN AIR,ZURICH,UK,GBP,78738914.4,18113930.0,17820913.1,60624984.4,2024-07-04,2025-07-04,included,
AIR CHINA,SCOR,USA,USD,18496083.8,3319559.7,3177374.2,15176524.1,2024-03-21,2025-03-21,included,
JAPAN AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,48304646.7,11717952.2,11251537.1,36586694.5,2024-06-05,2025-06-05,included,
AIR CANADA,GENERALI,Austria,EUR,51923243.9,28806823.4,27547692.3,23116420.5,2024-04-05,2026-04-05,included,
LUFTHANSA GROUP,ALLIANZ,Austria,EUR,73676188.6,23158885.2,22126973.3,50517303.4,2024-06-05,2025-06-05,included,
CHINA EASTERN,SCOR,France,EUR,94074048.9,44732929.5,43984295.1,49341119.4,2024-01-30,2026-01-29,included,
THAI AIRWAYS,AXA,France,EUR,92115139.6,82807700.4,79779833.6,9307439.1,2024-05-05,2025-05-05,included,
MALAYSIA AIRLINES,AXA,USA,USD,66214356.3,13221779.9,12788531.8,52992576.3,2024-08-16,2025-08-16,excluded,Terrorism Exclusion
JETBLUE AIRWAYS,HANNOVER RE,France,EUR,65205312.8,36952650.9,36059216.4,28252661.8,2024-12-02,2026-12-02,included,
DELTA AIR LINES,MUNICH RE,UK,GBP,63090511.3,31586320.0,30609073.6,31504191.3,2024-07-09,2026-07-09,included,
AIR CHINA,HANNOVER RE,UK,GBP,27596176.6,19940433.6,19529748.1,7655743.0,2024-03-25,2026-03-25,included,
CATHAY PACIFIC,SWISS RE,USA,USD,85619712.4,46129812.1,45498552.6,39489900.4,2024-10-22,2025-10-22,included,
CHINA SOUTHERN,AXA,UK,GBP,78244107.5,3948281.4,3751169.3,74295826.2,2024-01-23,2026-01-22,included,
AMERICAN AIRLINES,ALLIANZ,USA,USD,52171597.5,18853732.8,18099784.3,33317864.7,2024-07-27,2026-07-27,included,
BRITISH AIRWAYS,ALLIANZ,Germany,EUR,47165232.1,33133372.6,32711893.3,14031859.5,2024-11-13,2025-11-13,excluded,War Risk Exclusion
AIR CHINA,ALLIANZ,Germany,EUR,25898689.4,6381442.6,6290504.3,19517246.7,2024-06-28,2025-06-28,included,
JETBLUE AIRWAYS,GENERALI,France,EUR,95712563.8,48092765.9,46562844.5,47619797.9,2024-10-06,2025-10-06,included,
SOUTHWEST AIRLINES,GENERALI,Italy,EUR,86553104.0,45702242.5,44801536.5,40850861.5,2024-09-10,2025-09-10,included,
THAI AIRWAYS,ALLIANZ,Germany,EUR,88215015.1,72545741.6,71361833.1,15669273.6,2024-10-28,2025-10-28,included,
AIR CHINA,BERKSHIRE HATHAWAY,Germany,EUR,19114261.9,918063.4,880443.2,18196198.5,2024-08-10,2026-08-10,excluded,Terrorism Exclusion
VIRGIN ATLANTIC,CHUBB,USA,USD,50868093.2,45264302.2,43047811.5,5603791.1,2024-03-23,2026-03-23,included,
JETBLUE AIRWAYS,BERKSHIRE HATHAWAY,Germany,EUR,48573349.3,10050486.3,9934724.0,38522863.0,2024-03-30,2025-03-30,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,Switzerland,CHF,72502036.0,60069673.3,59066080.3,12432362.6,2024-08-22,2026-08-22,included,
EASYJET,SCOR,Germany,EUR,73901887.5,14697727.6,14171104.3,59204159.9,2024-09-20,2026-09-20,included,
CHINA EASTERN,HANNOVER RE,UK,GBP,14969432.7,841878.8,830128.9,14127553.8,2024-08-29,2025-08-29,excluded,War Risk Exclusion
ANA (ALL NIPPON AIRWAYS),SWISS RE,Switzerland,CHF,52341814.4,39135094.9,38640321.6,13206719.6,2024-11-29,2026-11-29,included,
TURKISH AIRLINES,HANNOVER RE,France,EUR,56610694.6,18809002.5,18617044.4,37801692.1,2024-11-11,2026-11-11,included,
TURKISH AIRLINES,AXA,France,EUR,58740925.2,30712906.8,29493814.6,28028018.3,2024-04-04,2025-04-04,excluded,War Risk Exclusion
CATHAY PACIFIC,ZURICH,Switzerland,CHF,13366448.9,9773132.8,9395538.9,3593316.1,2024-08-26,2026-08-26,included,
AIR FRANCE-KLM,SCOR,Germany,EUR,51446298.3,36525475.5,36041064.4,14920822.8,2024-08-22,2026-08-22,included,
KOREAN AIR,SWISS RE,Switzerland,CHF,57805509.1,48960858.4,47850722.1,8844650.8,2024-02-21,2026-02-20,included,
ALASKA AIRLINES,AXA,USA,USD,18996483.2,9954962.1,9723449.5,9041521.1,2024-01-22,2025-01-21,included,
EMIRATES AIRLINES,AXA,Germany,EUR,43281319.5,34002074.6,33654243.0,9279244.9,2024-12-18,2026-12-18,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,Switzerland,CHF,14785222.9,12548641.0,12077319.9,2236581.9,2024-07-20,2025-07-20,included,
ANA (ALL NIPPON AIRWAYS),ALLIANZ,Germany,EUR,86826925.8,40654982.0,39674434.0,46171943.8,2024-05-03,2025-05-03,included,
ETIHAD AIRWAYS,MUNICH RE,USA,USD,40385518.1,22854105.4,22477293.0,17531412.7,2024-07-04,2026-07-04,included,
JETBLUE AIRWAYS,SWISS RE,Germany,EUR,77917906.2,51515532.1,48976350.6,26402374.1,2024-03-02,2026-03-02,included,
AIR CANADA,BERKSHIRE HATHAWAY,Germany,EUR,44688710.6,16760627.4,16092040.8,27928083.2,2024-04-20,2026-04-20,included,
JETBLUE AIRWAYS,GENERALI,Italy,EUR,93005443.4,19504928.6,18781376.7,73500514.8,2024-02-28,2025-02-27,included,
AIR CHINA,ZURICH,Switzerland,CHF,68580134.1,31422191.9,30166390.4,37157942.3,2024-04-09,2026-04-09,included,
SAUDI ARABIAN AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,26454779.4,22485468.7,21859574.4,3969310.7,2024-12-21,2026-12-21,excluded,Cyber Risk Exclusion
LUFTHANSA GROUP,AXA,USA,USD,66902334.1,15877916.5,15661025.1,51024417.6,2024-11-17,2026-11-17,excluded,Nuclear Risk Exclusion
AMERICAN AIRLINES,SWISS RE,USA,USD,15502294.0,13335501.4,12676747.6,2166792.6,2024-07-05,2026-07-05,included,
SINGAPORE AIRLINES,CHUBB,UK,GBP,26682183.9,5373982.3,5174464.9,21308201.6,2024-07-18,2026-07-18,included,
CATHAY PACIFIC,SWISS RE,Germany,EUR,12282726.5,701341.1,683181.8,11581385.3,2024-12-11,2026-12-11,included,
MALAYSIA AIRLINES,MUNICH RE,UK,GBP,50598826.7,26165749.6,25736170.3,24433077.1,2024-12-29,2026-12-29,excluded,Terrorism Exclusion
AMERICAN AIRLINES,ZURICH,Switzerland,CHF,85116680.8,42244487.8,40410413.4,42872193.0,2024-12-04,2026-12-04,included,
JAPAN AIRLINES,BERKSHIRE HATHAWAY,USA,USD,12500391.5,3784642.9,3708992.6,8715748.6,2024-10-16,2026-10-16,excluded,Terrorism Exclusion
FRONTIER AIRLINES,ZURICH,USA,USD,30104237.4,11005867.0,10671261.7,19098370.4,2024-07-02,2026-07-02,included,
RYANAIR,GENERALI,Austria,EUR,46666228.7,18289344.3,17449429.7,28376884.5,2024-10-09,2026-10-09,included,
ALASKA AIRLINES,AXA,Germany,EUR,87622569.9,44380961.8,43235116.9,43241608.1,2024-05-11,2026-05-11,included,
RYANAIR,GENERALI,France,EUR,71731398.8,37155659.7,35867171.4,34575739.1,2024-03-09,2025-03-09,included,
DELTA AIR LINES,ZURICH,UK,GBP,77605348.3,25074326.8,24103346.1,52531021.5,2024-03-28,2025-03-28,excluded,Terrorism Exclusion
ETIHAD AIRWAYS,SWISS RE,Germany,EUR,55613270.5,41897359.1,40134556.3,13715911.4,2024-08-02,2025-08-02,included,
DELTA AIR LINES,SCOR,USA,USD,10048686.5,1428921.2,1362405.8,8619765.3,2024-09-23,2025-09-23,excluded,Pandemic Exclusion
JAPAN AIRLINES,CHUBB,UK,GBP,73893241.3,61893156.6,59746914.3,12000084.7,2024-12-02,2025-12-02,included,
VIRGIN ATLANTIC,MUNICH RE,UK,GBP,87033000.5,41876437.5,40811863.5,45156563.0,2024-01-14,2025-01-13,included,
JAPAN AIRLINES,HANNOVER RE,Germany,EUR,68320225.1,32891662.3,32215502.2,35428562.7,2024-09-11,2025-09-11,included,
SPIRIT AIRLINES,SWISS RE,Germany,EUR,19068025.5,9385469.4,9169281.4,9682556.2,2024-05-21,2025-05-21,included,
TURKISH AIRLINES,HANNOVER RE,UK,GBP,35326550.9,24030806.2,23179309.1,11295744.7,2024-01-16,2026-01-15,included,
CHINA SOUTHERN,GENERALI,France,EUR,28099046.6,877115.4,848760.8,27221931.3,2024-09-10,2026-09-10,included,
EMIRATES AIRLINES,AXA,Germany,EUR,68882145.5,38335843.9,36812086.3,30546301.6,2024-11-08,2025-11-08,included,
SAUDI ARABIAN AIRLINES,MUNICH RE,UK,GBP,70798387.3,53813198.0,52915931.6,16985189.3,2024-01-15,2026-01-14,excluded,Pandemic Exclusion
EMIRATES AIRLINES,CHUBB,Switzerland,CHF,56200373.6,32155222.9,30558034.5,24045150.6,2024-07-22,2026-07-22,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,UK,GBP,14705984.0,2230757.4,2156542.0,12475226.6,2024-08-10,2026-08-10,included,
ETIHAD AIRWAYS,CHUBB,USA,USD,51258000.6,28687713.4,27887678.2,22570287.2,2024-07-26,2025-07-26,included,
AIR CANADA,CHUBB,UK,GBP,82325343.7,1620129.8,1547137.3,80705213.9,2024-08-12,2025-08-12,excluded,Cyber Risk Exclusion
AIR CHINA,SWISS RE,Germany,EUR,91912198.8,29231393.1,28861764.3,62680805.7,2024-08-06,2025-08-06,included,
RYANAIR,ALLIANZ,USA,USD,89271798.6,45838833.6,45149915.8,43432965.0,2024-12-08,2025-12-08,excluded,War Risk Exclusion
QATAR AIRWAYS,MUNICH RE,Singapore,SGD,39022123.1,31720994.3,30837339.2,7301128.8,2024-10-16,2025-10-16,included,
KOREAN AIR,BERKSHIRE HATHAWAY,USA,USD,88047381.9,3340875.6,3266477.9,84706506.3,2024-06-04,2025-06-04,included,
CATHAY PACIFIC,SCOR,UK,GBP,87048827.0,47825999.4,46362578.3,39222827.7,2024-11-10,2026-11-10,included,
RYANAIR,ZURICH,Germany,EUR,16056643.7,1576494.9,1528685.5,14480148.8,2024-10-29,2026-10-29,excluded,War Risk Exclusion
EMIRATES AIRLINES,MUNICH RE,Germany,EUR,19376826.7,2748320.2,2704117.7,16628506.6,2024-04-01,2025-04-01,included,
EASYJET,GENERALI,Italy,EUR,67659084.3,13770490.2,13111423.1,53888594.1,2024-12-09,2026-12-09,included,
EMIRATES AIRLINES,MUNICH RE,Germany,EUR,72671998.3,603028.4,593806.0,72068969.9,2024-10-16,2026-10-16,excluded,Cyber Risk Exclusion
CHINA SOUTHERN,MUNICH RE,Singapore,SGD,47131990.0,2547674.4,2520655.1,44584315.6,2024-07-11,2025-07-11,excluded,War Risk Exclusion
ANA (ALL NIPPON AIRWAYS),AXA,France,EUR,69480823.7,18849963.2,18073627.7,50630860.5,2024-06-08,2025-06-08,included,
ANA (ALL NIPPON AIRWAYS),HANNOVER RE,UK,GBP,63044236.5,7574069.4,7204731.3,55470167.1,2024-06-29,2025-06-29,included,
THAI AIRWAYS,AXA,France,EUR,18797715.8,7602929.9,7514695.2,11194785.9,2024-02-16,2026-02-15,included,
JETBLUE AIRWAYS,HANNOVER RE,Germany,EUR,88843709.9,1169258.9,1127054.6,87674451.0,2024-06-03,2025-06-03,included,
SAUDI ARABIAN AIRLINES,ZURICH,Switzerland,CHF,46731824.4,8643495.5,8383151.8,38088328.9,2024-12-21,2026-12-21,included,
EMIRATES AIRLINES,ZURICH,Germany,EUR,16502744.3,1924495.7,1873933.6,14578248.5,2024-08-05,2025-08-05,included,
QATAR AIRWAYS,GENERALI,France,EUR,24862131.7,3490574.7,3377774.9,21371557.0,2024-04-26,2025-04-26,included,
CHINA SOUTHERN,SCOR,Germany,EUR,71822090.8,1216169.1,1155926.5,70605921.7,2024-03-21,2025-03-21,included,
CATHAY PACIFIC,GENERALI,Germany,EUR,33136068.9,6756088.6,6544535.0,26379980.3,2024-05-28,2026-05-28,included,
BRITISH AIRWAYS,SWISS RE,Germany,EUR,79079457.6,11079657.6,10634706.5,67999800.0,2024-11-02,2025-11-02,included,
CATHAY PACIFIC,SCOR,Germany,EUR,31870706.0,2670578.1,2592956.4,29200127.8,2024-08-07,2025-08-07,included,
ETIHAD AIRWAYS,CHUBB,Singapore,SGD,98413512.3,37060226.7,36089456.7,61353285.6,2024-01-13,2026-01-12,included,
SPIRIT AIRLINES,BERKSHIRE HATHAWAY,Switzerland,CHF,44230144.1,33572815.1,32150171.2,10657329.0,2024-04-20,2026-04-20,included,
FRONTIER AIRLINES,ALLIANZ,Germany,EUR,42671873.1,19098303.6,18213506.5,23573569.5,2024-11-18,2026-11-18,excluded,Pandemic Exclusion
MALAYSIA AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,76959670.9,29335147.8,28949815.6,47624523.1,2024-04-06,2026-04-06,excluded,War Risk Exclusion
SOUTHWEST AIRLINES,SCOR,USA,USD,99366084.5,65867582.5,63726845.9,33498502.0,2024-10-29,2025-10-29,excluded,Cyber Risk Exclusion
CHINA EASTERN,AXA,France,EUR,90690202.3,51804661.8,49816400.5,38885540.5,2024-11-25,2026-11-25,included,
AIR CHINA,ALLIANZ,USA,USD,91602880.5,57639158.7,55606718.6,33963721.8,2024-10-10,2025-10-10,included,
CATHAY PACIFIC,HANNOVER RE,Germany,EUR,55935226.5,38175217.6,37280678.7,17760008.9,2024-10-13,2026-10-13,included,
JETBLUE AIRWAYS,GENERALI,France,EUR,70278653.0,58561253.8,56978326.8,11717399.2,2024-03-20,2025-03-20,included,
ALASKA AIRLINES,GENERALI,France,EUR,63059560.3,13443840.6,13271517.0,49615719.6,2024-01-03,2026-01-02,included,
THAI AIRWAYS,ZURICH,Germany,EUR,18432085.3,4911519.3,4798292.0,13520566.0,2024-07-28,2026-07-28,included,
EMIRATES AIRLINES,AXA,France,EUR,21074891.1,16071177.3,15704202.4,5003713.8,2024-10-26,2026-10-26,included,
JETBLUE AIRWAYS,CHUBB,Switzerland,CHF,80012372.3,16115163.6,15832695.9,63897208.7,2024-01-31,2025-01-30,included,
CHINA SOUTHERN,HANNOVER RE,UK,GBP,65738509.3,27746731.5,27132813.2,37991777.8,2024-08-13,2025-08-13,included,
LUFTHANSA GROUP,GENERALI,Italy,EUR,76320089.7,14992993.9,14425028.3,61327095.7,2024-07-25,2026-07-25,included,
DELTA AIR LINES,MUNICH RE,Germany,EUR,16845277.5,11140031.0,10928951.1,5705246.5,2024-11-27,2025-11-27,included,
AIR CANADA,HANNOVER RE,France,EUR,51643806.0,36258789.7,35576856.0,15385016.3,2024-09-04,2026-09-04,included,
